Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,enrollment,,text,Record ID,,,,,,,,y,,,,,
subject_code,enrollment,,text,Subject code (de-identified),,No name/DOB — de-identified code only,,,,,,,,,,,
consent_date,enrollment,,text,Informed-consent date,,,date_ymd,,,,,y,,,,,
bm_draw_date,biomarkers,Biomarker panel,text,Blood draw date,,,date_ymd,,,,,y,,,,,
bm_week,biomarkers,,text,Study week,,,integer,0,16,,,,,,,,
hs_crp,biomarkers,,text,hs-CRP,,Units: mg/L,number,0,,,,,,,,,
il_6,biomarkers,,text,IL-6,,Units: pg/mL,number,0,,,,,,,,,
vegf,biomarkers,,text,VEGF,,Units: pg/mL,number,0,,,,,,,,,
tgf_b1,biomarkers,,text,TGF-β1,,Units: ng/mL,number,0,,,,,,,,,
p1np,biomarkers,,text,P1NP,,Units: µg/L,number,0,,,,,,,,,
ctx,biomarkers,,text,CTX,,Units: ng/mL,number,0,,,,,,,,,
bdnf,biomarkers,,text,BDNF,,Units: ng/mL,number,0,,,,,,,,,
nfl,biomarkers,,text,NfL,,Units: pg/mL,number,0,,,,,,,,,
wd_date,wearables_daily,Wearable telemetry,text,Date,,,date_ymd,,,,,y,,,,,
hrv_rmssd_ms,wearables_daily,,text,HRV (RMSSD),,ms,number,0,,,,,,,,,
resting_hr_bpm,wearables_daily,,text,Resting HR,,bpm,integer,20,200,,,,,,,,
sleep_efficiency_pct,wearables_daily,,text,Sleep efficiency,,%,number,0,100,,,,,,,,
deep_min,wearables_daily,,text,Deep sleep,,min,integer,0,,,,,,,,,
rem_min,wearables_daily,,text,REM sleep,,min,integer,0,,,,,,,,,
total_sleep_min,wearables_daily,,text,Total sleep,,min,integer,0,,,,,,,,,
steps,wearables_daily,,text,Steps,,,integer,0,,,,,,,,,
wd_source,wearables_daily,,dropdown,Device source,"1, Oura | 2, Whoop | 3, Garmin | 4, Other",,,,,,,,,,,,
jd_date,journal_daily,Daily journal,text,Date,,,date_ymd,,,,,y,,,,,
jd_energy,journal_daily,,text,Energy (1–10),,,integer,1,10,,,,,,,,
jd_recovery,journal_daily,,text,Recovery (1–10),,,integer,1,10,,,,,,,,
jd_sleep_quality,journal_daily,,text,Sleep quality (1–10),,,integer,1,10,,,,,,,,
jd_focus,journal_daily,,text,Focus (1–10),,,integer,1,10,,,,,,,,
jd_mood,journal_daily,,text,Mood (1–10),,,integer,1,10,,,,,,,,
jd_site_reaction,journal_daily,,dropdown,Infusion-site reaction,"0, None | 1, Mild | 2, Moderate | 3, Severe",,,,,,,,,,,,
jd_notes,journal_daily,,notes,Free-text notes,,,,,,,,,,,,,
ft_date,functional_test,Stressor recovery test,text,Test date,,,date_ymd,,,,,,,,,,
ft_protocol,functional_test,,text,Protocol,,e.g. 5×10 max-effort eccentric quad,,,,,,,,,,,
ck_24,functional_test,,text,CK +24h,,U/L,number,0,,,,,,,,,
ck_48,functional_test,,text,CK +48h,,U/L,number,0,,,,,,,,,
ck_72,functional_test,,text,CK +72h,,U/L,number,0,,,,,,,,,
pe_pair,primary_endpoint,Primary endpoint (blinded),text,Block pair #,,,integer,1,,,,,,,,,@READONLY-after-lock
pe_block,primary_endpoint,,dropdown,Block label,"A, Block A | B, Block B",Opaque label — active/placebo mapping stays sealed until unblinding,,,,,,,,,,,
pe_ck_auc,primary_endpoint,,text,Post-stressor CK AUC 0–72h,,U/L·h,number,0,,,,,,,,,
ae_date,adverse_events,Adverse events,text,AE date,,,date_ymd,,,,,,,,,,
ae_desc,adverse_events,,notes,Event description,,,,,,,,,,,,,
ae_ctcae,adverse_events,,dropdown,CTCAE grade,"1, Grade 1 | 2, Grade 2 | 3, Grade 3 | 4, Grade 4 | 5, Grade 5",Grade ≥3 → mandatory stop per protocol,,,,,,,,,,,
ae_related,adverse_events,,yesno,Related to intervention?,,,,,,,,,,,,,
ae_action,adverse_events,,notes,Action taken,,,,,,,,,,,,,
ae_resolved,adverse_events,,yesno,Resolved?,,,,,,,,,,,,,
